model,query_patent,query_title,query_cpc_subclass,rank,retrieved_patent,retrieved_title,retrieved_cpc_subclass,similarity,same_cpc
all-MiniLM-L6-v2,9578036.0,Access Revocation,G06F,1,,"DATA PROCESSING DEVICE, DATA COMMUNICATION DEVICE, COMMUNICATION SYSTEM, DATA PROCESSING METHOD, DATA COMMUNICATION METHOD, AND PROGRAM",H04L,0.39688536524772644,False
all-MiniLM-L6-v2,9578036.0,Access Revocation,G06F,2,,"POWER-SAVING CONTROL SYSTEM, CONTROL DEVICE, CONTROL METHOD, AND CONTROL PROGRAM FOR SERVER EQUIPPED WITH NON-VOLATILE MEMORY",G06F,0.3221771717071533,True
all-MiniLM-L6-v2,9578036.0,Access Revocation,G06F,3,9830464.0,FORMAT PRESERVING ENCRYPTION,H04L,0.2844674587249756,False
all-MiniLM-L6-v2,,"POWER-SAVING CONTROL SYSTEM, CONTROL DEVICE, CONTROL METHOD, AND CONTROL PROGRAM FOR SERVER EQUIPPED WITH NON-VOLATILE MEMORY",G06F,1,9983897.0,MAINTAINING VIRTUAL MACHINES FOR CLOUD-BASED OPERATORS IN A STREAMING APPLICATION IN A READY STATE,G06F,0.4213978350162506,True
all-MiniLM-L6-v2,,"POWER-SAVING CONTROL SYSTEM, CONTROL DEVICE, CONTROL METHOD, AND CONTROL PROGRAM FOR SERVER EQUIPPED WITH NON-VOLATILE MEMORY",G06F,2,9774467.0,Distributed Intelligent Modules System Using Power-line Communication for Electrical Appliance Automation,H04L,0.4156738519668579,False
all-MiniLM-L6-v2,,"POWER-SAVING CONTROL SYSTEM, CONTROL DEVICE, CONTROL METHOD, AND CONTROL PROGRAM FOR SERVER EQUIPPED WITH NON-VOLATILE MEMORY",G06F,3,,"DATA PROCESSING DEVICE, DATA COMMUNICATION DEVICE, COMMUNICATION SYSTEM, DATA PROCESSING METHOD, DATA COMMUNICATION METHOD, AND PROGRAM",H04L,0.3361240029335022,False
all-MiniLM-L6-v2,,SEMANTIC STRUCTURE SEARCH DEVICE AND SEMANTIC STRUCTURE SEARCH METHOD,G06F,1,9900229.0,Network-Connectivity Detection,H04L,0.342093825340271,False
all-MiniLM-L6-v2,,SEMANTIC STRUCTURE SEARCH DEVICE AND SEMANTIC STRUCTURE SEARCH METHOD,G06F,2,,"DATA PROCESSING DEVICE, DATA COMMUNICATION DEVICE, COMMUNICATION SYSTEM, DATA PROCESSING METHOD, DATA COMMUNICATION METHOD, AND PROGRAM",H04L,0.31220290064811707,False
all-MiniLM-L6-v2,,SEMANTIC STRUCTURE SEARCH DEVICE AND SEMANTIC STRUCTURE SEARCH METHOD,G06F,3,9930383.0,"APPARATUS FOR TRANSMITTING BROADCAST SIGNALS, APPARATUS FOR RECEIVING BROADCAST SIGNALS, METHOD FOR TRANSMITTING BROADCAST SIGNALS AND METHOD FOR RECEIVING BROADCAST SIGNALS",H04L,0.26901212334632874,False
all-MiniLM-L6-v2,9983897.0,MAINTAINING VIRTUAL MACHINES FOR CLOUD-BASED OPERATORS IN A STREAMING APPLICATION IN A READY STATE,G06F,1,,"POWER-SAVING CONTROL SYSTEM, CONTROL DEVICE, CONTROL METHOD, AND CONTROL PROGRAM FOR SERVER EQUIPPED WITH NON-VOLATILE MEMORY",G06F,0.4213978350162506,True
all-MiniLM-L6-v2,9983897.0,MAINTAINING VIRTUAL MACHINES FOR CLOUD-BASED OPERATORS IN A STREAMING APPLICATION IN A READY STATE,G06F,2,9774467.0,Distributed Intelligent Modules System Using Power-line Communication for Electrical Appliance Automation,H04L,0.27581101655960083,False
all-MiniLM-L6-v2,9983897.0,MAINTAINING VIRTUAL MACHINES FOR CLOUD-BASED OPERATORS IN A STREAMING APPLICATION IN A READY STATE,G06F,3,9900229.0,Network-Connectivity Detection,H04L,0.27325424551963806,False
all-MiniLM-L6-v2,,Methods of Treating Diseases,G06F,1,,"POWER-SAVING CONTROL SYSTEM, CONTROL DEVICE, CONTROL METHOD, AND CONTROL PROGRAM FOR SERVER EQUIPPED WITH NON-VOLATILE MEMORY",G06F,0.32394564151763916,True
all-MiniLM-L6-v2,,Methods of Treating Diseases,G06F,2,9900229.0,Network-Connectivity Detection,H04L,0.2586596608161926,False
all-MiniLM-L6-v2,,Methods of Treating Diseases,G06F,3,9774467.0,Distributed Intelligent Modules System Using Power-line Communication for Electrical Appliance Automation,H04L,0.21567191183567047,False
all-MiniLM-L6-v2,9443841.0,ELECTROSTATIC DISCHARGE PROTECTION STRUCTURE CAPABLE OF PREVENTING LATCH-UP ISSUE CAUSED BY UNEXPECTED NOISE,H01L,1,9793221.0,SEMICONDUCTOR DEVICE MOUNTING METHOD,H01L,0.31517815589904785,True
all-MiniLM-L6-v2,9443841.0,ELECTROSTATIC DISCHARGE PROTECTION STRUCTURE CAPABLE OF PREVENTING LATCH-UP ISSUE CAUSED BY UNEXPECTED NOISE,H01L,2,9425060.0,Method for Fabricating Multiple Layers of Ultra Narrow Silicon Wires,H01L,0.2201017588376999,True
all-MiniLM-L6-v2,9443841.0,ELECTROSTATIC DISCHARGE PROTECTION STRUCTURE CAPABLE OF PREVENTING LATCH-UP ISSUE CAUSED BY UNEXPECTED NOISE,H01L,3,,"POWER-SAVING CONTROL SYSTEM, CONTROL DEVICE, CONTROL METHOD, AND CONTROL PROGRAM FOR SERVER EQUIPPED WITH NON-VOLATILE MEMORY",G06F,0.21426834166049957,False
all-MiniLM-L6-v2,,SUBSTRATE FOR ORGANIC ELECTRONIC DEVICE,H01L,1,9425060.0,Method for Fabricating Multiple Layers of Ultra Narrow Silicon Wires,H01L,0.38726305961608887,True
all-MiniLM-L6-v2,,SUBSTRATE FOR ORGANIC ELECTRONIC DEVICE,H01L,2,9793221.0,SEMICONDUCTOR DEVICE MOUNTING METHOD,H01L,0.33484700322151184,True
all-MiniLM-L6-v2,,SUBSTRATE FOR ORGANIC ELECTRONIC DEVICE,H01L,3,,METHOD OF FORMING SOLDER BUMPS ON SOLID STATE MODULE INCLUDING PRINTED CIRUCUIT BOARD,H01L,0.2588081657886505,True
all-MiniLM-L6-v2,9793221.0,SEMICONDUCTOR DEVICE MOUNTING METHOD,H01L,1,,METHOD OF FORMING SOLDER BUMPS ON SOLID STATE MODULE INCLUDING PRINTED CIRUCUIT BOARD,H01L,0.45844224095344543,True
all-MiniLM-L6-v2,9793221.0,SEMICONDUCTOR DEVICE MOUNTING METHOD,H01L,2,9425060.0,Method for Fabricating Multiple Layers of Ultra Narrow Silicon Wires,H01L,0.4068972170352936,True
all-MiniLM-L6-v2,9793221.0,SEMICONDUCTOR DEVICE MOUNTING METHOD,H01L,3,,SUBSTRATE FOR ORGANIC ELECTRONIC DEVICE,H01L,0.33484700322151184,True
all-MiniLM-L6-v2,,METHOD OF FORMING SOLDER BUMPS ON SOLID STATE MODULE INCLUDING PRINTED CIRUCUIT BOARD,H01L,1,9793221.0,SEMICONDUCTOR DEVICE MOUNTING METHOD,H01L,0.45844224095344543,True
all-MiniLM-L6-v2,,METHOD OF FORMING SOLDER BUMPS ON SOLID STATE MODULE INCLUDING PRINTED CIRUCUIT BOARD,H01L,2,9425060.0,Method for Fabricating Multiple Layers of Ultra Narrow Silicon Wires,H01L,0.396889328956604,True
all-MiniLM-L6-v2,,METHOD OF FORMING SOLDER BUMPS ON SOLID STATE MODULE INCLUDING PRINTED CIRUCUIT BOARD,H01L,3,,SUBSTRATE FOR ORGANIC ELECTRONIC DEVICE,H01L,0.2588081657886505,True
all-MiniLM-L6-v2,9425060.0,Method for Fabricating Multiple Layers of Ultra Narrow Silicon Wires,H01L,1,9793221.0,SEMICONDUCTOR DEVICE MOUNTING METHOD,H01L,0.4068972170352936,True
all-MiniLM-L6-v2,9425060.0,Method for Fabricating Multiple Layers of Ultra Narrow Silicon Wires,H01L,2,,METHOD OF FORMING SOLDER BUMPS ON SOLID STATE MODULE INCLUDING PRINTED CIRUCUIT BOARD,H01L,0.396889328956604,True
all-MiniLM-L6-v2,9425060.0,Method for Fabricating Multiple Layers of Ultra Narrow Silicon Wires,H01L,3,,SUBSTRATE FOR ORGANIC ELECTRONIC DEVICE,H01L,0.38726305961608887,True
all-MiniLM-L6-v2,9900229.0,Network-Connectivity Detection,H04L,1,,"DATA PROCESSING DEVICE, DATA COMMUNICATION DEVICE, COMMUNICATION SYSTEM, DATA PROCESSING METHOD, DATA COMMUNICATION METHOD, AND PROGRAM",H04L,0.4887779951095581,True
all-MiniLM-L6-v2,9900229.0,Network-Connectivity Detection,H04L,2,9774467.0,Distributed Intelligent Modules System Using Power-line Communication for Electrical Appliance Automation,H04L,0.4050799310207367,True
all-MiniLM-L6-v2,9900229.0,Network-Connectivity Detection,H04L,3,,SEMANTIC STRUCTURE SEARCH DEVICE AND SEMANTIC STRUCTURE SEARCH METHOD,G06F,0.342093825340271,False
all-MiniLM-L6-v2,9830464.0,FORMAT PRESERVING ENCRYPTION,H04L,1,,"DATA PROCESSING DEVICE, DATA COMMUNICATION DEVICE, COMMUNICATION SYSTEM, DATA PROCESSING METHOD, DATA COMMUNICATION METHOD, AND PROGRAM",H04L,0.2943783104419708,True
all-MiniLM-L6-v2,9830464.0,FORMAT PRESERVING ENCRYPTION,H04L,2,9578036.0,Access Revocation,G06F,0.2844674587249756,False
all-MiniLM-L6-v2,9830464.0,FORMAT PRESERVING ENCRYPTION,H04L,3,,"POWER-SAVING CONTROL SYSTEM, CONTROL DEVICE, CONTROL METHOD, AND CONTROL PROGRAM FOR SERVER EQUIPPED WITH NON-VOLATILE MEMORY",G06F,0.2668161988258362,False
all-MiniLM-L6-v2,9774467.0,Distributed Intelligent Modules System Using Power-line Communication for Electrical Appliance Automation,H04L,1,,"POWER-SAVING CONTROL SYSTEM, CONTROL DEVICE, CONTROL METHOD, AND CONTROL PROGRAM FOR SERVER EQUIPPED WITH NON-VOLATILE MEMORY",G06F,0.4156738519668579,False
all-MiniLM-L6-v2,9774467.0,Distributed Intelligent Modules System Using Power-line Communication for Electrical Appliance Automation,H04L,2,9900229.0,Network-Connectivity Detection,H04L,0.4050799310207367,True
all-MiniLM-L6-v2,9774467.0,Distributed Intelligent Modules System Using Power-line Communication for Electrical Appliance Automation,H04L,3,,"DATA PROCESSING DEVICE, DATA COMMUNICATION DEVICE, COMMUNICATION SYSTEM, DATA PROCESSING METHOD, DATA COMMUNICATION METHOD, AND PROGRAM",H04L,0.37969133257865906,True
all-MiniLM-L6-v2,9930383.0,"APPARATUS FOR TRANSMITTING BROADCAST SIGNALS, APPARATUS FOR RECEIVING BROADCAST SIGNALS, METHOD FOR TRANSMITTING BROADCAST SIGNALS AND METHOD FOR RECEIVING BROADCAST SIGNALS",H04L,1,,"DATA PROCESSING DEVICE, DATA COMMUNICATION DEVICE, COMMUNICATION SYSTEM, DATA PROCESSING METHOD, DATA COMMUNICATION METHOD, AND PROGRAM",H04L,0.39484602212905884,True
all-MiniLM-L6-v2,9930383.0,"APPARATUS FOR TRANSMITTING BROADCAST SIGNALS, APPARATUS FOR RECEIVING BROADCAST SIGNALS, METHOD FOR TRANSMITTING BROADCAST SIGNALS AND METHOD FOR RECEIVING BROADCAST SIGNALS",H04L,2,9774467.0,Distributed Intelligent Modules System Using Power-line Communication for Electrical Appliance Automation,H04L,0.36108165979385376,True
all-MiniLM-L6-v2,9930383.0,"APPARATUS FOR TRANSMITTING BROADCAST SIGNALS, APPARATUS FOR RECEIVING BROADCAST SIGNALS, METHOD FOR TRANSMITTING BROADCAST SIGNALS AND METHOD FOR RECEIVING BROADCAST SIGNALS",H04L,3,,"POWER-SAVING CONTROL SYSTEM, CONTROL DEVICE, CONTROL METHOD, AND CONTROL PROGRAM FOR SERVER EQUIPPED WITH NON-VOLATILE MEMORY",G06F,0.3035883605480194,False
all-MiniLM-L6-v2,,"DATA PROCESSING DEVICE, DATA COMMUNICATION DEVICE, COMMUNICATION SYSTEM, DATA PROCESSING METHOD, DATA COMMUNICATION METHOD, AND PROGRAM",H04L,1,9900229.0,Network-Connectivity Detection,H04L,0.4887779951095581,True
all-MiniLM-L6-v2,,"DATA PROCESSING DEVICE, DATA COMMUNICATION DEVICE, COMMUNICATION SYSTEM, DATA PROCESSING METHOD, DATA COMMUNICATION METHOD, AND PROGRAM",H04L,2,9578036.0,Access Revocation,G06F,0.39688536524772644,False
all-MiniLM-L6-v2,,"DATA PROCESSING DEVICE, DATA COMMUNICATION DEVICE, COMMUNICATION SYSTEM, DATA PROCESSING METHOD, DATA COMMUNICATION METHOD, AND PROGRAM",H04L,3,9930383.0,"APPARATUS FOR TRANSMITTING BROADCAST SIGNALS, APPARATUS FOR RECEIVING BROADCAST SIGNALS, METHOD FOR TRANSMITTING BROADCAST SIGNALS AND METHOD FOR RECEIVING BROADCAST SIGNALS",H04L,0.39484602212905884,True
