model,query_patent,query_title,query_cpc_subclass,rank,retrieved_patent,retrieved_title,retrieved_cpc_subclass,similarity,same_cpc
all-mpnet-base-v2,9578036.0,Access Revocation,G06F,1,9830464.0,FORMAT PRESERVING ENCRYPTION,H04L,0.3304362893104553,False
all-mpnet-base-v2,9578036.0,Access Revocation,G06F,2,,"DATA PROCESSING DEVICE, DATA COMMUNICATION DEVICE, COMMUNICATION SYSTEM, DATA PROCESSING METHOD, DATA COMMUNICATION METHOD, AND PROGRAM",H04L,0.3026120960712433,False
all-mpnet-base-v2,9578036.0,Access Revocation,G06F,3,,Methods of Treating Diseases,G06F,0.2868103086948395,True
all-mpnet-base-v2,,"POWER-SAVING CONTROL SYSTEM, CONTROL DEVICE, CONTROL METHOD, AND CONTROL PROGRAM FOR SERVER EQUIPPED WITH NON-VOLATILE MEMORY",G06F,1,9983897.0,MAINTAINING VIRTUAL MACHINES FOR CLOUD-BASED OPERATORS IN A STREAMING APPLICATION IN A READY STATE,G06F,0.3442050814628601,True
all-mpnet-base-v2,,"POWER-SAVING CONTROL SYSTEM, CONTROL DEVICE, CONTROL METHOD, AND CONTROL PROGRAM FOR SERVER EQUIPPED WITH NON-VOLATILE MEMORY",G06F,2,,Methods of Treating Diseases,G06F,0.34328845143318176,True
all-mpnet-base-v2,,"POWER-SAVING CONTROL SYSTEM, CONTROL DEVICE, CONTROL METHOD, AND CONTROL PROGRAM FOR SERVER EQUIPPED WITH NON-VOLATILE MEMORY",G06F,3,,"DATA PROCESSING DEVICE, DATA COMMUNICATION DEVICE, COMMUNICATION SYSTEM, DATA PROCESSING METHOD, DATA COMMUNICATION METHOD, AND PROGRAM",H04L,0.3344119191169739,False
all-mpnet-base-v2,,SEMANTIC STRUCTURE SEARCH DEVICE AND SEMANTIC STRUCTURE SEARCH METHOD,G06F,1,,"DATA PROCESSING DEVICE, DATA COMMUNICATION DEVICE, COMMUNICATION SYSTEM, DATA PROCESSING METHOD, DATA COMMUNICATION METHOD, AND PROGRAM",H04L,0.35937029123306274,False
all-mpnet-base-v2,,SEMANTIC STRUCTURE SEARCH DEVICE AND SEMANTIC STRUCTURE SEARCH METHOD,G06F,2,,SUBSTRATE FOR ORGANIC ELECTRONIC DEVICE,H01L,0.3402245044708252,False
all-mpnet-base-v2,,SEMANTIC STRUCTURE SEARCH DEVICE AND SEMANTIC STRUCTURE SEARCH METHOD,G06F,3,9793221.0,SEMICONDUCTOR DEVICE MOUNTING METHOD,H01L,0.33267906308174133,False
all-mpnet-base-v2,9983897.0,MAINTAINING VIRTUAL MACHINES FOR CLOUD-BASED OPERATORS IN A STREAMING APPLICATION IN A READY STATE,G06F,1,,"POWER-SAVING CONTROL SYSTEM, CONTROL DEVICE, CONTROL METHOD, AND CONTROL PROGRAM FOR SERVER EQUIPPED WITH NON-VOLATILE MEMORY",G06F,0.3442050814628601,True
all-mpnet-base-v2,9983897.0,MAINTAINING VIRTUAL MACHINES FOR CLOUD-BASED OPERATORS IN A STREAMING APPLICATION IN A READY STATE,G06F,2,,"DATA PROCESSING DEVICE, DATA COMMUNICATION DEVICE, COMMUNICATION SYSTEM, DATA PROCESSING METHOD, DATA COMMUNICATION METHOD, AND PROGRAM",H04L,0.3216905891895294,False
all-mpnet-base-v2,9983897.0,MAINTAINING VIRTUAL MACHINES FOR CLOUD-BASED OPERATORS IN A STREAMING APPLICATION IN A READY STATE,G06F,3,9830464.0,FORMAT PRESERVING ENCRYPTION,H04L,0.3121182322502136,False
