model,query_patent,query_title,query_cpc_subclass,rank,retrieved_patent,retrieved_title,retrieved_cpc_subclass,similarity,same_cpc
PatentSBERTa,9578036.0,Access Revocation,G06F,1,,"DATA PROCESSING DEVICE, DATA COMMUNICATION DEVICE, COMMUNICATION SYSTEM, DATA PROCESSING METHOD, DATA COMMUNICATION METHOD, AND PROGRAM",H04L,0.4071686267852783,False
PatentSBERTa,9578036.0,Access Revocation,G06F,2,9830464.0,FORMAT PRESERVING ENCRYPTION,H04L,0.3510069251060486,False
PatentSBERTa,9578036.0,Access Revocation,G06F,3,,"POWER-SAVING CONTROL SYSTEM, CONTROL DEVICE, CONTROL METHOD, AND CONTROL PROGRAM FOR SERVER EQUIPPED WITH NON-VOLATILE MEMORY",G06F,0.34283801913261414,True
PatentSBERTa,,"POWER-SAVING CONTROL SYSTEM, CONTROL DEVICE, CONTROL METHOD, AND CONTROL PROGRAM FOR SERVER EQUIPPED WITH NON-VOLATILE MEMORY",G06F,1,,"DATA PROCESSING DEVICE, DATA COMMUNICATION DEVICE, COMMUNICATION SYSTEM, DATA PROCESSING METHOD, DATA COMMUNICATION METHOD, AND PROGRAM",H04L,0.4498468041419983,False
PatentSBERTa,,"POWER-SAVING CONTROL SYSTEM, CONTROL DEVICE, CONTROL METHOD, AND CONTROL PROGRAM FOR SERVER EQUIPPED WITH NON-VOLATILE MEMORY",G06F,2,9774467.0,Distributed Intelligent Modules System Using Power-line Communication for Electrical Appliance Automation,H04L,0.43181267380714417,False
PatentSBERTa,,"POWER-SAVING CONTROL SYSTEM, CONTROL DEVICE, CONTROL METHOD, AND CONTROL PROGRAM FOR SERVER EQUIPPED WITH NON-VOLATILE MEMORY",G06F,3,,SEMANTIC STRUCTURE SEARCH DEVICE AND SEMANTIC STRUCTURE SEARCH METHOD,G06F,0.4116048812866211,True
PatentSBERTa,,SEMANTIC STRUCTURE SEARCH DEVICE AND SEMANTIC STRUCTURE SEARCH METHOD,G06F,1,9900229.0,Network-Connectivity Detection,H04L,0.44789525866508484,False
PatentSBERTa,,SEMANTIC STRUCTURE SEARCH DEVICE AND SEMANTIC STRUCTURE SEARCH METHOD,G06F,2,9930383.0,"APPARATUS FOR TRANSMITTING BROADCAST SIGNALS, APPARATUS FOR RECEIVING BROADCAST SIGNALS, METHOD FOR TRANSMITTING BROADCAST SIGNALS AND METHOD FOR RECEIVING BROADCAST SIGNALS",H04L,0.4459286332130432,False
PatentSBERTa,,SEMANTIC STRUCTURE SEARCH DEVICE AND SEMANTIC STRUCTURE SEARCH METHOD,G06F,3,,"DATA PROCESSING DEVICE, DATA COMMUNICATION DEVICE, COMMUNICATION SYSTEM, DATA PROCESSING METHOD, DATA COMMUNICATION METHOD, AND PROGRAM",H04L,0.4377874732017517,False
PatentSBERTa,9983897.0,MAINTAINING VIRTUAL MACHINES FOR CLOUD-BASED OPERATORS IN A STREAMING APPLICATION IN A READY STATE,G06F,1,,"POWER-SAVING CONTROL SYSTEM, CONTROL DEVICE, CONTROL METHOD, AND CONTROL PROGRAM FOR SERVER EQUIPPED WITH NON-VOLATILE MEMORY",G06F,0.376143217086792,True
PatentSBERTa,9983897.0,MAINTAINING VIRTUAL MACHINES FOR CLOUD-BASED OPERATORS IN A STREAMING APPLICATION IN A READY STATE,G06F,2,,"DATA PROCESSING DEVICE, DATA COMMUNICATION DEVICE, COMMUNICATION SYSTEM, DATA PROCESSING METHOD, DATA COMMUNICATION METHOD, AND PROGRAM",H04L,0.37477174401283264,False
PatentSBERTa,9983897.0,MAINTAINING VIRTUAL MACHINES FOR CLOUD-BASED OPERATORS IN A STREAMING APPLICATION IN A READY STATE,G06F,3,9774467.0,Distributed Intelligent Modules System Using Power-line Communication for Electrical Appliance Automation,H04L,0.34987926483154297,False
PatentSBERTa,,Methods of Treating Diseases,G06F,1,9930383.0,"APPARATUS FOR TRANSMITTING BROADCAST SIGNALS, APPARATUS FOR RECEIVING BROADCAST SIGNALS, METHOD FOR TRANSMITTING BROADCAST SIGNALS AND METHOD FOR RECEIVING BROADCAST SIGNALS",H04L,0.4616045355796814,False
PatentSBERTa,,Methods of Treating Diseases,G06F,2,,"DATA PROCESSING DEVICE, DATA COMMUNICATION DEVICE, COMMUNICATION SYSTEM, DATA PROCESSING METHOD, DATA COMMUNICATION METHOD, AND PROGRAM",H04L,0.4540770947933197,False
PatentSBERTa,,Methods of Treating Diseases,G06F,3,,METHOD OF FORMING SOLDER BUMPS ON SOLID STATE MODULE INCLUDING PRINTED CIRUCUIT BOARD,H01L,0.3920416235923767,False
PatentSBERTa,9443841.0,ELECTROSTATIC DISCHARGE PROTECTION STRUCTURE CAPABLE OF PREVENTING LATCH-UP ISSUE CAUSED BY UNEXPECTED NOISE,H01L,1,9793221.0,SEMICONDUCTOR DEVICE MOUNTING METHOD,H01L,0.43721693754196167,True
PatentSBERTa,9443841.0,ELECTROSTATIC DISCHARGE PROTECTION STRUCTURE CAPABLE OF PREVENTING LATCH-UP ISSUE CAUSED BY UNEXPECTED NOISE,H01L,2,,SUBSTRATE FOR ORGANIC ELECTRONIC DEVICE,H01L,0.38039618730545044,True
PatentSBERTa,9443841.0,ELECTROSTATIC DISCHARGE PROTECTION STRUCTURE CAPABLE OF PREVENTING LATCH-UP ISSUE CAUSED BY UNEXPECTED NOISE,H01L,3,9425060.0,Method for Fabricating Multiple Layers of Ultra Narrow Silicon Wires,H01L,0.3782505393028259,True
PatentSBERTa,,SUBSTRATE FOR ORGANIC ELECTRONIC DEVICE,H01L,1,9930383.0,"APPARATUS FOR TRANSMITTING BROADCAST SIGNALS, APPARATUS FOR RECEIVING BROADCAST SIGNALS, METHOD FOR TRANSMITTING BROADCAST SIGNALS AND METHOD FOR RECEIVING BROADCAST SIGNALS",H04L,0.4283914268016815,False
PatentSBERTa,,SUBSTRATE FOR ORGANIC ELECTRONIC DEVICE,H01L,2,9425060.0,Method for Fabricating Multiple Layers of Ultra Narrow Silicon Wires,H01L,0.4189601540565491,True
PatentSBERTa,,SUBSTRATE FOR ORGANIC ELECTRONIC DEVICE,H01L,3,,SEMANTIC STRUCTURE SEARCH DEVICE AND SEMANTIC STRUCTURE SEARCH METHOD,G06F,0.4100149869918823,False
PatentSBERTa,9793221.0,SEMICONDUCTOR DEVICE MOUNTING METHOD,H01L,1,,METHOD OF FORMING SOLDER BUMPS ON SOLID STATE MODULE INCLUDING PRINTED CIRUCUIT BOARD,H01L,0.5442935228347778,True
PatentSBERTa,9793221.0,SEMICONDUCTOR DEVICE MOUNTING METHOD,H01L,2,9425060.0,Method for Fabricating Multiple Layers of Ultra Narrow Silicon Wires,H01L,0.5349138975143433,True
PatentSBERTa,9793221.0,SEMICONDUCTOR DEVICE MOUNTING METHOD,H01L,3,9443841.0,ELECTROSTATIC DISCHARGE PROTECTION STRUCTURE CAPABLE OF PREVENTING LATCH-UP ISSUE CAUSED BY UNEXPECTED NOISE,H01L,0.43721693754196167,True
PatentSBERTa,,METHOD OF FORMING SOLDER BUMPS ON SOLID STATE MODULE INCLUDING PRINTED CIRUCUIT BOARD,H01L,1,9793221.0,SEMICONDUCTOR DEVICE MOUNTING METHOD,H01L,0.5442935228347778,True
PatentSBERTa,,METHOD OF FORMING SOLDER BUMPS ON SOLID STATE MODULE INCLUDING PRINTED CIRUCUIT BOARD,H01L,2,9425060.0,Method for Fabricating Multiple Layers of Ultra Narrow Silicon Wires,H01L,0.5356214642524719,True
PatentSBERTa,,METHOD OF FORMING SOLDER BUMPS ON SOLID STATE MODULE INCLUDING PRINTED CIRUCUIT BOARD,H01L,3,,SUBSTRATE FOR ORGANIC ELECTRONIC DEVICE,H01L,0.3921359181404114,True
PatentSBERTa,9425060.0,Method for Fabricating Multiple Layers of Ultra Narrow Silicon Wires,H01L,1,,METHOD OF FORMING SOLDER BUMPS ON SOLID STATE MODULE INCLUDING PRINTED CIRUCUIT BOARD,H01L,0.5356214642524719,True
PatentSBERTa,9425060.0,Method for Fabricating Multiple Layers of Ultra Narrow Silicon Wires,H01L,2,9793221.0,SEMICONDUCTOR DEVICE MOUNTING METHOD,H01L,0.5349138975143433,True
PatentSBERTa,9425060.0,Method for Fabricating Multiple Layers of Ultra Narrow Silicon Wires,H01L,3,,SUBSTRATE FOR ORGANIC ELECTRONIC DEVICE,H01L,0.4189601540565491,True
PatentSBERTa,9900229.0,Network-Connectivity Detection,H04L,1,,"DATA PROCESSING DEVICE, DATA COMMUNICATION DEVICE, COMMUNICATION SYSTEM, DATA PROCESSING METHOD, DATA COMMUNICATION METHOD, AND PROGRAM",H04L,0.47992855310440063,True
PatentSBERTa,9900229.0,Network-Connectivity Detection,H04L,2,,SEMANTIC STRUCTURE SEARCH DEVICE AND SEMANTIC STRUCTURE SEARCH METHOD,G06F,0.44789525866508484,False
PatentSBERTa,9900229.0,Network-Connectivity Detection,H04L,3,9774467.0,Distributed Intelligent Modules System Using Power-line Communication for Electrical Appliance Automation,H04L,0.4419018626213074,True
PatentSBERTa,9830464.0,FORMAT PRESERVING ENCRYPTION,H04L,1,,"DATA PROCESSING DEVICE, DATA COMMUNICATION DEVICE, COMMUNICATION SYSTEM, DATA PROCESSING METHOD, DATA COMMUNICATION METHOD, AND PROGRAM",H04L,0.4176822900772095,True
PatentSBERTa,9830464.0,FORMAT PRESERVING ENCRYPTION,H04L,2,9930383.0,"APPARATUS FOR TRANSMITTING BROADCAST SIGNALS, APPARATUS FOR RECEIVING BROADCAST SIGNALS, METHOD FOR TRANSMITTING BROADCAST SIGNALS AND METHOD FOR RECEIVING BROADCAST SIGNALS",H04L,0.4063604772090912,True
PatentSBERTa,9830464.0,FORMAT PRESERVING ENCRYPTION,H04L,3,,"POWER-SAVING CONTROL SYSTEM, CONTROL DEVICE, CONTROL METHOD, AND CONTROL PROGRAM FOR SERVER EQUIPPED WITH NON-VOLATILE MEMORY",G06F,0.35984769463539124,False
PatentSBERTa,9774467.0,Distributed Intelligent Modules System Using Power-line Communication for Electrical Appliance Automation,H04L,1,,"DATA PROCESSING DEVICE, DATA COMMUNICATION DEVICE, COMMUNICATION SYSTEM, DATA PROCESSING METHOD, DATA COMMUNICATION METHOD, AND PROGRAM",H04L,0.45055297017097473,True
PatentSBERTa,9774467.0,Distributed Intelligent Modules System Using Power-line Communication for Electrical Appliance Automation,H04L,2,9900229.0,Network-Connectivity Detection,H04L,0.4419018626213074,True
PatentSBERTa,9774467.0,Distributed Intelligent Modules System Using Power-line Communication for Electrical Appliance Automation,H04L,3,,"POWER-SAVING CONTROL SYSTEM, CONTROL DEVICE, CONTROL METHOD, AND CONTROL PROGRAM FOR SERVER EQUIPPED WITH NON-VOLATILE MEMORY",G06F,0.43181267380714417,False
PatentSBERTa,9930383.0,"APPARATUS FOR TRANSMITTING BROADCAST SIGNALS, APPARATUS FOR RECEIVING BROADCAST SIGNALS, METHOD FOR TRANSMITTING BROADCAST SIGNALS AND METHOD FOR RECEIVING BROADCAST SIGNALS",H04L,1,,"DATA PROCESSING DEVICE, DATA COMMUNICATION DEVICE, COMMUNICATION SYSTEM, DATA PROCESSING METHOD, DATA COMMUNICATION METHOD, AND PROGRAM",H04L,0.5619525909423828,True
PatentSBERTa,9930383.0,"APPARATUS FOR TRANSMITTING BROADCAST SIGNALS, APPARATUS FOR RECEIVING BROADCAST SIGNALS, METHOD FOR TRANSMITTING BROADCAST SIGNALS AND METHOD FOR RECEIVING BROADCAST SIGNALS",H04L,2,,Methods of Treating Diseases,G06F,0.4616045355796814,False
PatentSBERTa,9930383.0,"APPARATUS FOR TRANSMITTING BROADCAST SIGNALS, APPARATUS FOR RECEIVING BROADCAST SIGNALS, METHOD FOR TRANSMITTING BROADCAST SIGNALS AND METHOD FOR RECEIVING BROADCAST SIGNALS",H04L,3,,SEMANTIC STRUCTURE SEARCH DEVICE AND SEMANTIC STRUCTURE SEARCH METHOD,G06F,0.4459286332130432,False
PatentSBERTa,,"DATA PROCESSING DEVICE, DATA COMMUNICATION DEVICE, COMMUNICATION SYSTEM, DATA PROCESSING METHOD, DATA COMMUNICATION METHOD, AND PROGRAM",H04L,1,9930383.0,"APPARATUS FOR TRANSMITTING BROADCAST SIGNALS, APPARATUS FOR RECEIVING BROADCAST SIGNALS, METHOD FOR TRANSMITTING BROADCAST SIGNALS AND METHOD FOR RECEIVING BROADCAST SIGNALS",H04L,0.5619525909423828,True
PatentSBERTa,,"DATA PROCESSING DEVICE, DATA COMMUNICATION DEVICE, COMMUNICATION SYSTEM, DATA PROCESSING METHOD, DATA COMMUNICATION METHOD, AND PROGRAM",H04L,2,9900229.0,Network-Connectivity Detection,H04L,0.47992855310440063,True
PatentSBERTa,,"DATA PROCESSING DEVICE, DATA COMMUNICATION DEVICE, COMMUNICATION SYSTEM, DATA PROCESSING METHOD, DATA COMMUNICATION METHOD, AND PROGRAM",H04L,3,,Methods of Treating Diseases,G06F,0.4540770947933197,False
