model,query_patent,query_title,query_cpc_subclass,rank,retrieved_patent,retrieved_title,retrieved_cpc_subclass,similarity,same_cpc
PaECTER,9578036.0,Access Revocation,G06F,1,9830464.0,FORMAT PRESERVING ENCRYPTION,H04L,0.9335060119628906,False
PaECTER,9578036.0,Access Revocation,G06F,2,9900229.0,Network-Connectivity Detection,H04L,0.9114923477172852,False
PaECTER,9578036.0,Access Revocation,G06F,3,9983897.0,MAINTAINING VIRTUAL MACHINES FOR CLOUD-BASED OPERATORS IN A STREAMING APPLICATION IN A READY STATE,G06F,0.9047566056251526,True
PaECTER,,"POWER-SAVING CONTROL SYSTEM, CONTROL DEVICE, CONTROL METHOD, AND CONTROL PROGRAM FOR SERVER EQUIPPED WITH NON-VOLATILE MEMORY",G06F,1,9983897.0,MAINTAINING VIRTUAL MACHINES FOR CLOUD-BASED OPERATORS IN A STREAMING APPLICATION IN A READY STATE,G06F,0.9230526089668274,True
PaECTER,,"POWER-SAVING CONTROL SYSTEM, CONTROL DEVICE, CONTROL METHOD, AND CONTROL PROGRAM FOR SERVER EQUIPPED WITH NON-VOLATILE MEMORY",G06F,2,9900229.0,Network-Connectivity Detection,H04L,0.9032321572303772,False
PaECTER,,"POWER-SAVING CONTROL SYSTEM, CONTROL DEVICE, CONTROL METHOD, AND CONTROL PROGRAM FOR SERVER EQUIPPED WITH NON-VOLATILE MEMORY",G06F,3,,"DATA PROCESSING DEVICE, DATA COMMUNICATION DEVICE, COMMUNICATION SYSTEM, DATA PROCESSING METHOD, DATA COMMUNICATION METHOD, AND PROGRAM",H04L,0.896774411201477,False
PaECTER,,SEMANTIC STRUCTURE SEARCH DEVICE AND SEMANTIC STRUCTURE SEARCH METHOD,G06F,1,9900229.0,Network-Connectivity Detection,H04L,0.8829474449157715,False
PaECTER,,SEMANTIC STRUCTURE SEARCH DEVICE AND SEMANTIC STRUCTURE SEARCH METHOD,G06F,2,,Methods of Treating Diseases,G06F,0.8795213103294373,True
PaECTER,,SEMANTIC STRUCTURE SEARCH DEVICE AND SEMANTIC STRUCTURE SEARCH METHOD,G06F,3,,"POWER-SAVING CONTROL SYSTEM, CONTROL DEVICE, CONTROL METHOD, AND CONTROL PROGRAM FOR SERVER EQUIPPED WITH NON-VOLATILE MEMORY",G06F,0.8792392015457153,True
PaECTER,9983897.0,MAINTAINING VIRTUAL MACHINES FOR CLOUD-BASED OPERATORS IN A STREAMING APPLICATION IN A READY STATE,G06F,1,,"POWER-SAVING CONTROL SYSTEM, CONTROL DEVICE, CONTROL METHOD, AND CONTROL PROGRAM FOR SERVER EQUIPPED WITH NON-VOLATILE MEMORY",G06F,0.9230526089668274,True
PaECTER,9983897.0,MAINTAINING VIRTUAL MACHINES FOR CLOUD-BASED OPERATORS IN A STREAMING APPLICATION IN A READY STATE,G06F,2,9900229.0,Network-Connectivity Detection,H04L,0.9166908860206604,False
PaECTER,9983897.0,MAINTAINING VIRTUAL MACHINES FOR CLOUD-BASED OPERATORS IN A STREAMING APPLICATION IN A READY STATE,G06F,3,,"DATA PROCESSING DEVICE, DATA COMMUNICATION DEVICE, COMMUNICATION SYSTEM, DATA PROCESSING METHOD, DATA COMMUNICATION METHOD, AND PROGRAM",H04L,0.9056820273399353,False
PaECTER,,Methods of Treating Diseases,G06F,1,,SEMANTIC STRUCTURE SEARCH DEVICE AND SEMANTIC STRUCTURE SEARCH METHOD,G06F,0.8795213103294373,True
PaECTER,,Methods of Treating Diseases,G06F,2,,"POWER-SAVING CONTROL SYSTEM, CONTROL DEVICE, CONTROL METHOD, AND CONTROL PROGRAM FOR SERVER EQUIPPED WITH NON-VOLATILE MEMORY",G06F,0.8751013278961182,True
PaECTER,,Methods of Treating Diseases,G06F,3,,"DATA PROCESSING DEVICE, DATA COMMUNICATION DEVICE, COMMUNICATION SYSTEM, DATA PROCESSING METHOD, DATA COMMUNICATION METHOD, AND PROGRAM",H04L,0.8720851540565491,False
PaECTER,9443841.0,ELECTROSTATIC DISCHARGE PROTECTION STRUCTURE CAPABLE OF PREVENTING LATCH-UP ISSUE CAUSED BY UNEXPECTED NOISE,H01L,1,9793221.0,SEMICONDUCTOR DEVICE MOUNTING METHOD,H01L,0.881361186504364,True
PaECTER,9443841.0,ELECTROSTATIC DISCHARGE PROTECTION STRUCTURE CAPABLE OF PREVENTING LATCH-UP ISSUE CAUSED BY UNEXPECTED NOISE,H01L,2,,METHOD OF FORMING SOLDER BUMPS ON SOLID STATE MODULE INCLUDING PRINTED CIRUCUIT BOARD,H01L,0.8803038001060486,True
PaECTER,9443841.0,ELECTROSTATIC DISCHARGE PROTECTION STRUCTURE CAPABLE OF PREVENTING LATCH-UP ISSUE CAUSED BY UNEXPECTED NOISE,H01L,3,9425060.0,Method for Fabricating Multiple Layers of Ultra Narrow Silicon Wires,H01L,0.880200207233429,True
PaECTER,,SUBSTRATE FOR ORGANIC ELECTRONIC DEVICE,H01L,1,9425060.0,Method for Fabricating Multiple Layers of Ultra Narrow Silicon Wires,H01L,0.9028931260108948,True
PaECTER,,SUBSTRATE FOR ORGANIC ELECTRONIC DEVICE,H01L,2,9793221.0,SEMICONDUCTOR DEVICE MOUNTING METHOD,H01L,0.8959585428237915,True
PaECTER,,SUBSTRATE FOR ORGANIC ELECTRONIC DEVICE,H01L,3,,METHOD OF FORMING SOLDER BUMPS ON SOLID STATE MODULE INCLUDING PRINTED CIRUCUIT BOARD,H01L,0.8945688009262085,True
PaECTER,9793221.0,SEMICONDUCTOR DEVICE MOUNTING METHOD,H01L,1,,METHOD OF FORMING SOLDER BUMPS ON SOLID STATE MODULE INCLUDING PRINTED CIRUCUIT BOARD,H01L,0.9407426714897156,True
PaECTER,9793221.0,SEMICONDUCTOR DEVICE MOUNTING METHOD,H01L,2,,SUBSTRATE FOR ORGANIC ELECTRONIC DEVICE,H01L,0.8959585428237915,True
PaECTER,9793221.0,SEMICONDUCTOR DEVICE MOUNTING METHOD,H01L,3,9425060.0,Method for Fabricating Multiple Layers of Ultra Narrow Silicon Wires,H01L,0.8885462284088135,True
PaECTER,,METHOD OF FORMING SOLDER BUMPS ON SOLID STATE MODULE INCLUDING PRINTED CIRUCUIT BOARD,H01L,1,9793221.0,SEMICONDUCTOR DEVICE MOUNTING METHOD,H01L,0.9407426714897156,True
PaECTER,,METHOD OF FORMING SOLDER BUMPS ON SOLID STATE MODULE INCLUDING PRINTED CIRUCUIT BOARD,H01L,2,9425060.0,Method for Fabricating Multiple Layers of Ultra Narrow Silicon Wires,H01L,0.8950008153915405,True
PaECTER,,METHOD OF FORMING SOLDER BUMPS ON SOLID STATE MODULE INCLUDING PRINTED CIRUCUIT BOARD,H01L,3,,SUBSTRATE FOR ORGANIC ELECTRONIC DEVICE,H01L,0.8945688009262085,True
PaECTER,9425060.0,Method for Fabricating Multiple Layers of Ultra Narrow Silicon Wires,H01L,1,,SUBSTRATE FOR ORGANIC ELECTRONIC DEVICE,H01L,0.9028931260108948,True
