application_number,publication_number,patent_number,title,abstract
14987153,US20160113926A1-20160428,None,TRAZODONE AND TRAZODONE HYDROCHLORIDE IN PURIFIED FORM,"A process of production of trazodone or trazodone hydrochloride that comprises: (a) preparing an organic phase comprising trazodone in at least one organic solvent; (b) preparing an aqueous phase comprising at least one basic compound; (c) mixing said aqueous phase with said organic phase; (d) heating at a temperature of at least 40° C. for at least 30 minutes; (e) recovering said trazodone; and, optionally, (f) treating said trazodone with hydrochloric acid to obtain trazodone hydrochloride. Trazodone or trazodone hydrochloride comprising less than 15 ppm of alkylating substances, and a pharmaceutical composition comprising said trazodone hydrochloride."
14907899,US20160185755A1-20160630,9464069,"1,2-DISUBSTITUTED CYCLOBUTYL COMPOUNDS","The invention refers to compounds of general formula (I) wherein the variables take various meanings, pharmaceutical compositions containing them and their use in medicine, particularly in pain therapy."
15006319,US20160193594A1-20160707,None,FILTER FOR FILTERING PARTICULATE MATTER FROM EXHAUST GAS EMITTED FROM A COMPRESSION IGNITION ENGINE,"A filter for filtering particulate matter (PM) from exhaust gas emitted from a compression ignition engine, which filter comprising a porous substrate having inlet surfaces and outlet surfaces, wherein the inlet surfaces are separated from the outlet surfaces by a porous structure containing pores of a first mean pore size, wherein the porous substrate is coated with a wash coat comprising a plurality of solid particles comprising a molecular sieve promoted with at least one metal wherein the porous structure of the wash coated porous substrate contains pores of a second mean pore size, and wherein the second mean pore size is less than the first mean pore size."
15010344,US20160251717A1-20160901,10000812,TREATMENT OF DISEASE,"The invention relates to the use of angiogenin, or a fragment or variant thereof, to treat diseases or conditions characterised by neuronal injury or death, or axonal degeneration, especially neurodegenerative diseases such as Amyotrophic Lateral Sclerosis (ALS). The invention also describes a plurality of mutations of the human angiogenin gene which are associated with a neurodegenerative disease phenotype, and particularly a ALS phenotype. Also described is a method of assessing whether an individual is afflicted with, or generically predisposed to develop, a disease or condition characterised by neuronal injury or death, or to axonal degeneration."
15007298,US20160221685A1-20160804,9815568,"DEVICE FOR MONITORING A POWER TRANSMISSION SYSTEM OF AN AIRCRAFT, AN AIRCRAFT PROVIDED WITH THE DEVICE, AND THE METHOD USED","A method of monitoring a power transmission system of an aircraft, the aircraft including at least one main rotor driven in rotation by a rotor mast and an auxiliary unit having an auxiliary rotor. Control means control the auxiliary rotor. A power relationship is determined providing a first reduced power parameter of the auxiliary unit as a function of a position (POS) of the control means. A setpoint limit is set for a second power parameter for the rotor mast. A current position (POSACTU) of the control means is determined and a calculated value (Vcal) is also determined at least by applying the current position (POSACTU) to the power relationship. A limit value that is not to be exceeded by a power plant is determined, with the limit value being equal to the sum at least of the setpoint limit plus the calculated value."
15002556,US20170214337A1-20170727,9948211,SYSTEM AND METHOD FOR CONTROLLING THE OPERATING AREA OF AN INVERTER COUPLED TO AN ALTERNATIVE ENERGY SOURCE,"A system includes a controller programmed to control an inverter to supply a power grid with a maximum amount AC electrical power while operating within an operating area that is pre-defined based on hardware limitations of the inverter. The system allows the inverter to operate with a variable low-DC voltage input into the inverter as opposed to a preset threshold DC voltage, thereby maximizing the amount of power the inverter supplies to a power grid. The inverter controller operates by prioritizing the reactive power output by the inverter over the active power output by the inverter so that the inverter is able to generate an output that meets the reactive power command from a utility and supplies the maximum amount of active power."
14991349,US20160228979A1-20160811,None,FRICTION WELDING,"A friction welding process includes: providing a first workpiece having a first weld surface, and a second workpiece having a second weld surface; aligning the workpieces with the weld surfaces facing each other, moving one workpiece relative to the other workpiece, and engaging the first and second weld surfaces such that the movement raises the temperature at the weld surfaces to create a weld interface; and ceasing the movement and allowing the weld interface to cool to weld the workpieces together at the interface. The first workpiece has a plurality of flash removal channels formed in and/or adjacent to the first weld surface. The channels provide pathways for ejection of material from the weld interface during welding."
14987388,US20170190280A1-20170706,None,Detachable Vehicular Lighting Device,"A detachable vehicular lighting device for identifying vehicles traveling in a caravan includes a housing that has a bottom that is substantially rectangular. The bottom has an outer perimeter and an opening that defines an inner perimeter. An outer casing is coupled to the outer perimeter and extends transversely from the bottom. An inner casing, coupled to the inner perimeter, defines a cavity positioned in the bottom of the housing. The bottom, the outer casing and the inner casing define an internal space. A power module and a plurality of lights are coupled to the housing and positioned in the internal space. The lights are operationally coupled to the power module. A switch is operationally coupled to the power module and the plurality of lights. A fastener, coupled to the bottom, is configured to couple the housing to the exterior surface of a vehicle."
15004429,US20160349931A1-20161201,None,RESPONSIVE USER INTERFACE FOR AN INDUSTRIAL ENVIRONMENT,The present disclosure describes a method whereby a human machine interface dynamically responds to changes in the display environment actively working to present the most important attributes of a given set of display elements to the user.
14989084,US20170190267A1-20170706,9764661,STOWABLE SEATS,"A stowable seat for a vehicle is provided including a seat portion pivotably connected to a back portion, the back portion having a first base portion and a first extendable portion, the first extendable portion movable from a stowed position to an extended position, the extended position defined when the first extendable portion is spaced apart from the first base portion the seat portion having a second base portion and a second extendable portion, the second extendable portion movable from a stowed position to an extended position, the extended position defined when the second extendable portion is spaced apart from the second base portion. The seat assembly may be configured to move to a stowed position only after the first extendable portion of the back portion and the second extendable portion of the seat portion are moved to the stowed position."
14904170,US20160244816A1-20160825,None,DETECTION OF TARGET NUCLEIC ACID SEQUENCE BY PTO CLEAVAGE AND EXTENSION-DEPENDENT IMMOBILIZED OLIGONUCLEOTIDE HYBRIDIZATION,"The present invention relates to the detection of a target nucleic acid sequence by a PCE-IH (PTO Cleavage and Extension-Dependent Immobilized Oligonucleotide Hybridization) assay on a solid phase. The present invention firstly hybridizes the PTO with a target nucleic acid sequence, forms the extended strand in a target-dependent manner by using the CTO having artificially selected sequence as templates and finally hybridizes the extended strand with the IO immobilized on a solid phase. In other words, the present invention employs a series of reactions including PTO hybridization and cleavage, CTO hybridization and extension and IO hybridization, which is responsible for the highly enhanced specificity of the present invention."
15011555,US20160153590A1-20160602,None,METHOD OF INSTALLING A SLEEVE LOCK ASSEMBLY,"A method of installing a sleeve lock assembly may include mounting a male ring member on a sleeve, installing an annular locking member of the male ring member into the female ring member, and threadably engaging a threaded interior portion of the female ring member to a threaded exterior portion of the male ring member. The method may additionally include rotating the male and female ring members relative to one another, compressing the locking member radially inwardly in response to rotating the male and female ring members relative to one another, and preventing movement of the sleeve lock assembly relative to the sleeve in response to engaging annular gripping flanges of the annular locking member to the sleeve outer surface."
15006760,US20160266441A1-20160915,9952467,PHOTO-ALIGNMENT LAYER AND LIQUID CRYSTAL DISPLAY INCLUDING THE SAME,"A liquid crystal display is provided. A photo-alignment layer thereof includes a polyimide and a crosslinker including an alkylene group (—CnH2n—, where n is a natural number) and a plurality of crosslinking end groups, wherein the plurality of crosslinking end groups include at least two types of end groups or end group derivatives, each type having a different available functional group."
15001413,US20160238151A1-20160818,9810338,GAS CYLINDER VALVE,"Disclosed is a valve for connection to a pressurized gas cylinder. The valve includes a housing including a gas cylinder aperture which is connectable to a gas cylinder, and a housing conduit which extends through the housing from the gas cylinder aperture to one or more inlet/outlet apertures so that the valve is capable of providing fluid communication between the gas cylinder through the housing conduit and the one or more inlet/outlet apertures. A flow control ball within the housing conduit is movable between open and closed positions. Ball seals have sealing surfaces corresponding to a shape of the flow control ball for substantially sealing the flow control ball in the housing conduit. Other features include components for mounting the ball seals though one of the inlet/outlet apertures; components for mounting a stem to the flow control ball including bearings; live ports; a tube which can be removably connectable from the rest of the housing; provision for receiving an EFV and/or a PRD in the valve housing; and at least one of the ball seals and stem bearings being comprised of special polymeric material including polyetherimide or polyaryletherketone."
15004244,US20160135131A1-20160512,9572112,COMBINED OPEN LOOP/CLOSED LOOP METHOD FOR CONTROLLING UPLINK POWER OF A MOBILE STATION,"A method and apparatus are disclosed comprising a combined open loop/closed loop uplink power control scheme for E-UTRA. The combined open and closed loop method for UL intra-cell PC controls the wireless transmit receive unit (WTRU) transmit power spectral density (PSD), PSDTx, (e.g. power per RB)."
