application_number,publication_number,patent_number,title,abstract,main_cpc_label
14988173,US20160132690A1-20160512,9578036,Access Revocation,"Systems and apparatuses for revoking access to one or more applications for one or more individuals or users are provided. In some examples, revocation settings may be received from different business divisions or enterprises or business groups within an entity and may be compiled to form a standardized set of revocation settings that may be applied across the entity. Accordingly, upon receiving an item that may be associated with access and may include one or more applications to which access may be revoked and/or one or more users from which access may be revoked, the system may apply the standardized revocation settings to determine whether access should be revoked. If it is determined that access should be revoked, the system may revoke access to the one or more applications for the one or more users.",G06F216218
14904773,US20160170474A1-20160616,None,"POWER-SAVING CONTROL SYSTEM, CONTROL DEVICE, CONTROL METHOD, AND CONTROL PROGRAM FOR SERVER EQUIPPED WITH NON-VOLATILE MEMORY","In order to provide normally-off computing with an enhanced power-saving effect for a server equipped with a non-volatile memory, the power-saving control system includes a physical machine that includes a memory and a CPU including a plurality of CPU cores, an operating system that operates on the physical machine, and one or more processes that operate on the operating system, and the operating system includes a process characteristic collection unit that collects a characteristic of the process, a core allocation determination unit that determines allocation of the CPU core to the process in accordance with the characteristic of the process, and a process scheduler that executes the process in accordance with the allocation of the CPU core. Further, the operating system reduces OFF/ON frequency and extends OFF time by powering OFF/ON the CPU core or the memory, in accordance with execution of the process.",G06F13287
14995775,US20160217207A1-20160728,None,SEMANTIC STRUCTURE SEARCH DEVICE AND SEMANTIC STRUCTURE SEARCH METHOD,"A non-transitory computer-readable recording medium stores a semantic structure search program. The semantic structure search program causes a computer to execute the following process. The computer generates a plurality of search semantic symbols from a search request. Next, the computer specifies a position of a specific word that corresponds to the search request in a search target document, by the plurality of search semantic symbols and document semantic structure position information. The document semantic structure position information includes a relationship information between a plurality of semantic symbols and a plurality of positions of a plurality of words in the search target document. The plurality of semantic symbols represent a semantic structure corresponding to the plurality of words. Thereafter, the computer outputs a search result including the specific word and the position of the specific word in the search target document.",G06F1730696
14994563,US20160124768A1-20160505,9983897,MAINTAINING VIRTUAL MACHINES FOR CLOUD-BASED OPERATORS IN A STREAMING APPLICATION IN A READY STATE,"A streams manager monitors performance of a streaming application, and when the performance needs to be improved, the streams manager automatically requests virtual machines from a cloud manager. The cloud manager provisions one or more virtual machines in a cloud with the specified streams infrastructure and streams application components. The streams manager then modifies the flow graph so one or more portions of the streaming application are hosted by the virtual machines in the cloud. When performance of the streaming application indicates a virtual machine is no longer needed, the virtual machine is maintained and placed in a ready state so it can be quickly used as needed in the future without the overhead of deploying a new virtual machine.",G06F945558
14993845,US20160125125A1-20160505,None,Methods of Treating Diseases,"The present invention relates to computer-implemented methods and system for analysing a biomarker which cycles in a subject. In some other aspects, the present invention relates to analysing a biomarker which at least initially increases or decreases in amount in a subject following a treatment for a disease. In further aspects, the present invention relates to computer-implemented methods and systems for determining a preferred time to administer a therapy to treat a disease in a subject. The present invention also relates to computer program product to implement the methods. Further, the present invention relates to methods of determining the timing of treating a disease in a subject in which the immune system is cycling.",G06F1912
14986741,US20160118374A1-20160428,9443841,ELECTROSTATIC DISCHARGE PROTECTION STRUCTURE CAPABLE OF PREVENTING LATCH-UP ISSUE CAUSED BY UNEXPECTED NOISE,"An electrostatic discharge protection structure comprises an isolation layer, a high voltage P-well, an N-well, a P-well, a first doped region of N-type conductivity, a second doped region of P-type conductivity, a third doped region of N-type conductivity, a fourth doped region of P-type conductivity, an anode, and a cathode. The isolation layer is disposed on a substrate. The high voltage P-well is disposed on the isolation layer. The N-well is disposed in the high voltage P-well. The P-well is disposed in the high voltage P-well, and the P-well is separated from the N-well. The first and the second doped regions are disposed in the N-well. The third and the fourth doped regions are disposed in the P-well. The anode is electrically connected to the first doped region and the second doped region, and the cathode is electrically connected to the fourth doped region.",H01L270262
14908065,US20160172591A1-20160616,None,SUBSTRATE FOR ORGANIC ELECTRONIC DEVICE,"Provided are a substrate for an OED and a use thereof. The substrate may be applied to manufacture a flexible device exhibiting a suitable haze to have an excellent physical property such as transmittance, and also have excellent physical properties such as surface smoothness and refractive index when needed.",H01L51004
15009969,US20160284566A1-20160929,9793221,SEMICONDUCTOR DEVICE MOUNTING METHOD,"A first insulating film is applied onto a joining face of a semiconductor device including a connection terminal on a joining face, and the connection terminal is embedded inside the first insulating film. The second insulating film is formed on a joining target face of a joining target, which includes a connection target terminal on the joining target face, and the connection target terminal is embedded inside the second insulating film. The semiconductor device and the joining target are joined together by applying pressure and causing the semiconductor device and the joining target to make contact with each other.",H01L2152
15004468,US20170213785A1-20170727,None,METHOD OF FORMING SOLDER BUMPS ON SOLID STATE MODULE INCLUDING PRINTED CIRUCUIT BOARD,"A method is provided for forming solder bumps on at least one module including a printed circuit board (PCB), electronic circuitry, and metal pads connected to the electronic circuitry. The metal pads are arranged in a predetermined pattern on a surface of the PCB. The method includes providing a planar structure including a non-wettable surface; placing a stencil over the non-wettable surface, the stencil defining openings corresponding to the metal pads; applying solder paste through the openings in the stencil to provide corresponding solder paste deposits on the non-wettable surface; removing the stencil; placing the at least one module on the solder paste deposits, such that the metal pads align with the solder paste deposits, respectively; and reflowing the solder paste deposits to form corresponding solder bumps, which respectively adhere to the metal pads of the at least one module and not to the non-wettable surface of the planar structure.",H01L2349816
14907371,US20160181114A1-20160623,9425060,Method for Fabricating Multiple Layers of Ultra Narrow Silicon Wires,"A method for preparing a multilayer superfine silicon line, comprising: preparing an etching masking layer of silicon; forming a fin and source/drain region on both ends thereof by epitaxy; and forming a multilayer superfine silicon line. The method has the following advantages: the atom layer deposition accurately defines the position of the superfine line, giving good controllability; the anisotropic etching of the silicon is automatically stopped, so the process window is large, and the cross section of a nanowire obtained via etching is uniform and flat; a method of mask preparation before channel epitaxy is employed to provide a simple process of forming a multilayer sidewall etching mask, i.e., the multilayer sidewall mask is obtained by etching an epitaxial window only once irrespective of the number of masking layers; a line having a size less than 10 nm can be prepared in conjunction with oxidation technology, thus satisfying the requirement of the key process of a small-sized device. Polycrystalline silicon can be etched by employing a TMAH solution wet process, being simple, convenient and safe, without introducing metal, thus being suitable for the manufacturing process of an integrated circuit; and the method is completely compatible with a bulk silicon planar transistor process, thus having small process costs.",H01L213088
15010455,US20170222900A1-20170803,9900229,Network-Connectivity Detection,"A state of network connectivity of a network interface can be determined by transmitting, via a network interface, requests having respective destinations. A computing device can determine that respective results corresponding to the requests include at least some inconsistent results. A further request can be transmitted having a respective destination. A state of network connectivity of the network interface can be determined based at least in part on a result corresponding to the further request and at least one of the inconsistent results. Destinations can be selected based on respective priority values. An indication can be transmitted of a destination that does not correspond to the state of network connectivity.",H04L430811
15003474,US20170214521A1-20170727,9830464,FORMAT PRESERVING ENCRYPTION,"Encrypting data without losing their format is important in computing systems, because many parties using confidential data rely on systems that require specific formatting for data. Information security depends on the systems and methods used to store and transmit data as well as the keys used to encrypt and decrypt those data. A policy broker is disclosed that maintains keys for clients in confidence, while providing cryptographically secure ciphertext as tokens that the clients may use in their systems as though they were the unencrypted data. Tokens are uniquely constructed for each client by the policy broker based on policies set by a receiving client detailing the formatting needs of their systems. Each client may communicate with other clients via the policy broker with the tokens and will send tokens unique to their system that the policy broker will translate into the tokens of the other party.",H04L90618
14904974,US20160164695A1-20160609,9774467,Distributed Intelligent Modules System Using Power-line Communication for Electrical Appliance Automation,"In a first aspect the invention provides a system that comprising a plurality of electronic modules, each one of the electronic modules configured for enabling automation of an electrical appliance to be connected to the electronic module. Each electronic module comprises at least a communication sub-part configured to enable communication over a power-line network with other modules, at least an acting means configured to act on an electrical voltage to be applied to the electrical appliance, at least a measurement means configured to measure a power consumption to be consumed by the electrical appliance, and an embedded intel ligence means configured to process signals providing from or going to the at least one communication sub-part, the at least one acting means and the at least one measurement means. Each one of the plurality of electronic modules is enabled for communication with the others of the plurality of electronic modules over the power-line network by means of its at least one communication sub-part. In each one of the plurality of electronic modules the embedded intelligence means further comprises outgoing message sending means configured to send an outgoing message over the power-line network to at least one of the others of the plurality of electronic modules, ingoing message receiving means configured to receive an ingoing message over the power-line network from at least one of the others of the plurality of electronic modules, identifying means configured to identify an ingoing message relevant to the electronic module, presentation means configured to prepare a presentation message to be sent as outgoing message, the presentation message containing presentation information related to an identity of the electronic module, hierarchical ordering means configured to generate an ordered list of the plurality of modules that comprises the electronic module and the others of the plurality of electronic modules, depending on presentation information from the electronic module and presentation information received from the others of the plurality of electronic modules, and electing means for electing from the ordered list a president electronic module. The presentation means, the hierarchical ordering means and the electing means are configured such that the electing means in each of the plurality of electronic modules find the same president electronic module. The embedded intelligence means are further configured to handle information included an ingoing message sent from the president electronic module according to a determined priority protocol.",H04L122807
14904892,US20160164628A1-20160609,9930383,"APPARATUS FOR TRANSMITTING BROADCAST SIGNALS, APPARATUS FOR RECEIVING BROADCAST SIGNALS, METHOD FOR TRANSMITTING BROADCAST SIGNALS AND METHOD FOR RECEIVING BROADCAST SIGNALS","The present invention provides an apparatus of transmitting broadcast signals, the apparatus including, an encoder for encoding service data, a frame builder for building at least one signal frame by mapping the encoded service data, a modulator for modulating data in the built at least one signal frame by an Orthogonal Frequency Division Multiplexing, OFDM, scheme and a transmitter for transmitting the broadcast signals having the modulated data.",H04L10041
14909059,US20160191210A1-20160630,None,"DATA PROCESSING DEVICE, DATA COMMUNICATION DEVICE, COMMUNICATION SYSTEM, DATA PROCESSING METHOD, DATA COMMUNICATION METHOD, AND PROGRAM","A data generation device 101 transmits communication data bound for a data receiving device 105 from a transmission unit, and a monitoring device 103 receives the communication data. The monitoring device 103 requests retransmission of the communication data to the data generation device 101, and the data generation device 101 retransmits the communication data from a retransmission unit being different from the transmission unit. The monitoring device 103 receives retransmission data retransmitted from the retransmission unit, compares the communication data with the retransmission data. If the communication data and the retransmission data are identical, the monitoring device 103 transmits the communication data to the data receiving device 105. If the communication data and the retransmission data are not identical, the monitoring device 103 transmits a message which notifies that the communication data and the retransmission data are not identical to the data generation device 101.",H04L108
